star_age,star_mass,he_core_mass,log_Teff,log_L,log_R,pp,cno,tri_alfa,c12_c12,o16_o16,log_center_T,log_center_Rho
5910304.419660105,30.0,10.90003560868317,3.5635781887121007,5.417979461240595,3.105092189648722,-0.32123140223311797,4.548411107304388,2.4809981868548197,-11.019430116458704,-33.621503069618335,8.472603341592599,3.25944575565541
5910358.182405914,30.0,10.900035608683174,3.563648363180378,5.416547696144801,3.1042359581642707,-0.32420142728307694,4.5453484203937125,2.4679809321336896,-11.00547773981649,-33.59824929282407,8.472930240871532,3.2604421016126315
5910410.1793565545,30.0,10.900035608683773,3.5636530681865675,5.415512671063765,3.1037090356113737,-0.32712244046163697,4.542325870886255,2.4552098673609457,-10.991828180667584,-33.57551540080277,8.473249953997273,3.261416657024615
5910460.56825031,30.0,10.90003560868317,3.5636650840020216,5.4145415846423,3.1031994607697335,-0.33000221322956474,4.539340170172985,2.4426590592501505,-10.978452181365416,-33.553251525554245,8.473563174102784,3.2623715357195486
5910510.151072948,30.0,10.90003560868376,3.5636719445462037,5.41352324138953,3.1026765680549833,-0.33288872513379864,4.536340039697592,2.4300960866213366,-10.965141803590043,-33.53110857614504,8.473874801121799,3.263321686873856
5910558.873950867,30.0,10.900035608683153,3.5636955049885586,5.412312375857769,3.1020240144043942,-0.3357891282218759,4.533315956011972,2.41757985916215,-10.951919062323833,-33.50912509197039,8.474184296478992,3.2642654831490976
5910606.484319803,30.0,10.900035608683764,3.5636863192790673,5.411428046161411,3.1016002209751967,-0.3386589673717725,4.5303186453958215,2.40518408375034,-10.938851668330408,-33.487413642030205,8.474490072889028,3.2651980095633673
5910653.149358937,30.0,10.900035608683178,3.5637450224073457,5.410337690026314,3.100937636651092,-0.3415378841482166,4.527302359459425,2.3928682704803133,-10.92590920671698,-33.465922369908604,8.474792854588094,3.2661215495845424
5910698.860602473,30.0,10.90003560868375,3.5637510270103747,5.409275594349785,3.1003945796067707,-0.3444167937318938,4.524279629956224,2.380641844536011,-10.913097232028347,-33.44466020792076,8.475092512979508,3.2670356916405767
5910743.477078611,30.0,10.902206875171935,3.5637415275940882,5.408322882347802,3.0999372224383506,-0.34726304237753114,4.521283969992117,2.3685161490589914,-10.900457003303506,-33.423693447008255,8.475388104991008,3.2679375290155313
5910787.303586961,30.0,10.902206875171329,3.5637474877917983,5.407303640308273,3.0994156810231663,-0.35010986039461983,4.518281090732812,2.356449584999137,-10.887910128085581,-33.4028934092333,8.475681446211441,3.268832611663052
5910830.418355025,30.0,10.902206875171935,3.563818930670694,5.406020089030601,3.0986310196265383,-0.3529783000208198,4.5152477379566385,2.3444234343778443,-10.875442444919837,-33.38223594465999,8.475972873995353,3.269721999894276
5910872.449532913,30.0,10.902206875171922,3.563790270330041,5.405381918938694,3.0983692552618916,-0.3558010966690465,4.512256716117335,2.332550789520979,-10.863159002949772,-33.36189520542259,8.476259929068632,3.270598110623518
5910913.746625163,30.0,10.902206875171935,3.5637951905655183,5.404373563502193,3.0978552370726855,-0.35861768565887875,4.509267146507902,2.3207107879078377,-10.850965511713975,-33.341712982825015,8.476544836801157,3.271467765135274
5910954.656219792,30.0,10.902206875171915,3.56384493905478,5.403261367030509,3.097199641858321,-0.36147758495178145,4.506224652936355,2.3088325233899742,-10.838767890722075,-33.32153438885335,8.47682978482718,3.2723376886400826
5910994.876216695,30.0,10.902206875171938,3.5638247166805477,5.402508656241774,3.0968637312124176,-0.3643057714726948,4.503210952890314,2.2970105918318495,-10.826648282619784,-33.30149588362316,8.47711284705803,3.2732018984831943
5911034.568149776,30.0,10.902206875171904,3.5638033111690777,5.401775444311779,3.096539936270361,-0.36714249945576943,4.50018427036152,2.285172943385912,-10.814566264980977,-33.28152868163771,8.477394988884264,3.274063402306042
5911073.99571157,30.0,10.902206875171895,3.563833777118036,5.400507305179866,3.0958449348064874,-0.37002724365935263,4.497099755102804,2.2732665266481127,-10.802447260820916,-33.261510468266955,8.47767794121734,3.2749275203355572
5911112.631836161,30.0,10.902206875171911,3.5638598507429653,5.39986309858482,3.0954706842591047,-0.3728736039793914,4.4940513624272125,2.261456728638256,-10.79044724188405,-33.2416992614605,8.477958057045075,3.2757830225962463
5911150.584772219,30.0,10.902206875171911,3.5638677318616208,5.398838692028584,3.0949427187436775,-0.375719783989061,4.490998810134377,2.2497128667288298,-10.778544089621652,-33.22205767519614,8.478235860905547,3.276631566549393
5911188.12613324,30.0,10.902206875171911,3.563872668505522,5.397823299394764,3.0944251491389645,-0.3785887824810216,4.487915689139995,2.2379539854036836,-10.766656177151068,-33.20245076196743,8.478513260121646,3.277478989808915
5911224.94137758,30.0,10.902206875171926,3.5638530324888626,5.397058833160822,3.0940821880553124,-0.38143045008390786,4.484857681249856,2.2262509332238425,-10.754879636384173,-33.18303565396188,8.478788026379545,3.278318448771252
5911261.1785837775,30.0,10.902206875171922,3.563832358730282,5.396300037027086,3.093744137505605,-0.3842713435968021,4.481796620542612,2.2145938613394054,-10.743175000348803,-33.16374836843099,8.479061066925583,3.279152719357325
5911297.016311276,30.0,10.90220687517193,3.5638119249460516,5.395548178706934,3.0934090759139905,-0.38712653657745594,4.478715302644725,2.202928116512024,-10.731487499728468,-33.14449840561378,8.479333661132095,3.279985720244679
5911332.321234792,30.0,10.902206875171927,3.5637910301636104,5.3948075414401595,3.0930805468454854,-0.3899666874834757,4.475646316463295,2.1913010754671367,-10.719859791647783,-33.12535607170073,8.479604813137149,3.2808143726301933
5911366.968115477,30.0,10.902206875171938,3.5638099641949923,5.393663980908484,3.0924708985168845,-0.39281050606562584,4.472568950987588,2.1797558180539838,-10.708342662439957,-33.10640427187358,8.479873345330468,3.281635183816159
5911400.715802751,30.0,10.902206875171933,3.5638295725213274,5.393020607358119,3.092109995089032,-0.39560360908038256,4.469542334787837,2.1683810645607497,-10.69701698635932,-33.08777599355437,8.48013737069301,3.2824422285250225
5911433.76092924,30.0,10.902206875171922,3.5638830181570884,5.391980576466908,3.091483088371904,-0.3983918506874152,4.466517777218895,2.157115166412615,-10.685828027179099,-33.06938039926284,8.480398172192528,3.2832395217582873
5911466.230278512,30.0,10.90220687517193,3.563820539939303,5.391719464082671,3.0914774886153564,-0.40113212380766244,4.4635421153272254,2.145924532809504,-10.674726251920639,-33.05113642180165,8.48065689829606,3.284030474379744
5911498.198749636,30.0,10.902206875171922,3.5638171261392535,5.390850499359684,3.091049833853961,-0.40389035780299315,4.460544609002403,2.1347821061181365,-10.663702001301516,-33.033027147381276,8.480913785121224,3.2848159192287993
5911529.853739602,30.0,10.90220687517193,3.5638141145436344,5.389988709134063,3.090624961932389,-0.4066525834243256,4.457538234332504,2.1236278609734147,-10.65268663425679,-33.014940048470116,8.481170428727822,3.2856006867660223
5911561.048491506,30.0,10.902206875171935,3.5638064877825726,5.389170424313614,3.0902310730442877,-0.409414392502105,4.454530554327328,2.112447633876335,-10.641731027116089,-32.996955812399214,8.481425676351723,3.286381266710326
5911591.75554949,30.0,10.902206875171935,3.5637338840121005,5.389031244060412,3.090306690458631,-0.4121347236789837,4.4515645368038,2.1013265758361137,-10.63084203854016,-32.979088733355304,8.481679331829147,3.287156995863056
5911622.116847041,30.0,10.902206875171935,3.5637245480006636,5.388224854029124,3.0899221674658612,-0.4148715459959292,4.448579942123757,2.0902123364510103,-10.619981053312259,-32.96127472544101,8.481932302624164,3.2879307285711654
5911652.214083801,30.0,10.902206875171935,3.563714877352332,5.387444106293292,3.089551134894608,-0.41763083354264474,4.4455681827871825,2.079076936230312,-10.609119819954808,-32.943467374248534,8.482185247300347,3.288704474585629
5911681.90965507,30.0,10.902206875171938,3.563644351994792,5.387288099059862,3.0896141819929728,-0.42034268740873343,4.442606013298072,2.067978008217294,-10.598298452369917,-32.92573298659544,8.482437224881307,3.2894752473549196
5911711.295948954,30.0,10.902206875171942,3.5636041167856134,5.38681676246459,3.089458984113694,-0.42306091688928643,4.439636395693363,2.056879429619878,-10.587494713064565,-32.90803442480489,8.482688760881805,3.2902447436096236
5911740.423414571,30.0,10.902206875171943,3.5635789606051924,5.3862082361614805,3.089205033322982,-0.42578807359627147,4.436656769687013,2.0457293622042405,-10.576689452713316,-32.89033900859949,8.482940316323596,3.29101436887075
5911769.16648828,30.0,10.902206875171942,3.5635731249633342,5.385408797972549,3.0888169855122323,-0.4285206476118787,4.433668850562418,2.034612105136289,-10.56593358804127,-32.87273121176176,8.48319069267109,3.291780473642771
5911797.455620595,30.0,10.902206875171949,3.5635351711667154,5.38492762075546,3.088652304496926,-0.43123073585740085,4.430704955288089,2.023559817692161,-10.555251410563836,-32.85525086771536,8.483439322792083,3.2925412774135863
5911825.271613198,30.0,10.902206875171952,3.563561383849016,5.384364696127341,3.0883184168182654,-0.43393005299711196,4.427751620959673,2.012582551371549,-10.544656715807395,-32.83792013428456,8.483685889245566,3.293295837292925
